,nm_category,nm_brand,nm_model,nm_version,ethanol_city_efficiency,ethanol_road_efficiency,gasoline_city_efficiency,gasoline_road_efficiency
167,Utilitã¡Rio Esportivo Compacto,Jeep,Renegade,Sahara,7.8,8.9,11.1,12.4
168,Utilitã¡Rio Esportivo Compacto,Nissan,Kicks Play,Sense,7.8,9.4,11.3,13.7
169,Utilitã¡Rio Esportivo Compacto,Nissan,Kicks Play,Adv,7.8,9.4,11.3,13.7
170,Utilitã¡Rio Esportivo Compacto,Nissan,Kicks Play,Active,7.8,9.4,11.3,13.7
171,Utilitã¡Rio Esportivo Compacto,Nissan,Kicks,Sense At,8.3,9.9,11.7,14.3
172,Utilitã¡Rio Esportivo Compacto,Nissan,Kicks,Advance At,8.3,9.9,11.7,14.3
173,Utilitã¡Rio Esportivo Compacto,Nissan,Kicks,Exclusiv At,8.3,9.9,11.7,14.3
174,Utilitã¡Rio Esportivo Compacto,Nissan,Kicks,Platinum At,8.3,9.9,11.7,14.3
175,Utilitã¡Rio Esportivo Compacto,Peugeot,2008,Gt T200,8.5,9.8,12.0,14.1
176,Utilitã¡Rio Esportivo Compacto,Peugeot,2008,Act T200,8.5,9.8,12.0,14.1
177,Utilitã¡Rio Esportivo Compacto,Peugeot,2008,Allu T200,8.5,9.8,12.0,14.1
178,Utilitã¡Rio Esportivo Compacto,Renault,Kwid,Zen,10.4,10.8,14.6,15.5
179,Utilitã¡Rio Esportivo Compacto,Renault,Kwid,Intense,10.4,10.8,14.6,15.5
180,Utilitã¡Rio Esportivo Compacto,Renault,Kwid,Outsider,10.4,10.8,14.6,15.5
181,Utilitã¡Rio Esportivo Compacto,Renault,Kwid,Intense Biton,10.4,10.8,14.6,15.5
182,Utilitã¡Rio Esportivo Compacto,Renault,Kwid,Iconic 2,10.4,10.8,14.6,15.5
183,Utilitã¡Rio Esportivo Compacto,Renault,Kwid,Zen 2,10.4,10.7,14.4,15.4
184,Utilitã¡Rio Esportivo Compacto,Renault,Kwid,Intense 2,10.4,10.7,14.4,15.4
185,Utilitã¡Rio Esportivo Compacto,Renault,Kwid,Outsider 2,10.4,10.7,14.4,15.4
186,Utilitã¡Rio Esportivo Compacto,Renault,Kwid,Intense Biton 2,10.4,10.7,14.4,15.4
187,Utilitã¡Rio Esportivo Compacto,Renault,Kwid,Iconic 2,10.4,10.7,14.4,15.4
188,Utilitã¡Rio Esportivo Compacto,Renault,Kwid,Life 2,10.4,10.7,14.4,15.4
189,Utilitã¡Rio Esportivo Compacto,Renault,Kardian,Prem At,8.8,9.8,12.2,13.8
190,Utilitã¡Rio Esportivo Compacto,Renault,Kardian,Tech At,8.8,9.8,12.2,13.8
191,Utilitã¡Rio Esportivo Compacto,Renault,Kardian,Evo At,8.8,9.8,12.2,13.8
192,Utilitã¡Rio Esportivo Compacto,Renault,Kardian,Evo Mt,8.6,10.2,12.4,14.8
193,Utilitã¡Rio Esportivo Compacto,Volkswagen,T Cross,"Highline 250Tsi 
AutomãTico",8.2,9.9,11.8,14.2
194,Utilitã¡Rio Esportivo Compacto,Volkswagen,T Cross,"Comfortline 200Tsi 
Automatico",8.5,10.2,12.1,14.5
195,Utilitã¡Rio Esportivo Compacto,Volkswagen,T Cross,200Tsi Automatico,8.5,10.2,12.1,14.5
196,Utilitã¡Rio Esportivo Compacto,Volkswagen,T Cross,"Sense 200Tsi 
Automatico",8.5,10.2,12.1,14.5
197,Utilitã¡Rio Esportivo Compacto,Volkswagen,Nivus,"Highline 200Tsi 
AutomãTico",8.6,10.3,12.4,14.8
198,Utilitã¡Rio Esportivo Compacto,Volkswagen,Nivus,"Comfortline 200Tsi 
AutomãTico",8.6,10.3,12.4,14.8
199,Utilitã¡Rio Esportivo Compacto,Volkswagen,Tera,Comfort Tsi,8.6,10.3,12.2,14.5
200,Utilitã¡Rio Esportivo Compacto,Volkswagen,Tera,High Tsi,8.6,10.3,12.2,14.5
201,Utilitã¡Rio Esportivo Compacto,Volkswagen,Tera,Tsi,9.0,10.3,12.9,15.0
202,Utilitã¡Rio Esportivo Grande,Caoa Chery,Tiggo 7,Pro Ha,7.8,8.3,11.1,11.6
203,Utilitã¡Rio Esportivo Grande,Caoa Chery,Tiggo 7,Sport,6.4,8.3,10.1,12.3
204,Utilitã¡Rio Esportivo Grande,Jeep,Commander,"Ovr T270 (""Mestre"")",7.0,8.3,9.9,11.4
205,Utilitã¡Rio Esportivo Grande,Jeep,Commander,Lim T270,7.0,8.3,9.9,11.4
206,Utilitã¡Rio Esportivo Grande,Jeep,Commander,Longitude,7.0,8.3,9.9,11.4
207,Utilitã¡Rio Esportivo Grande,Jeep,Commander,Flex,7.0,8.3,9.9,11.4
208,Utilitã¡Rio Esportivo Grande,Jeep,Commander,Ove 7 270 (My26),6.9,8.3,10.0,11.5
209,Utilitã¡Rio Esportivo Grande,Jeep,Commander,Lim 7 270 (My26),6.9,8.3,10.0,11.5
210,Utilitã¡Rio Esportivo Grande,Jeep,Commander,Lon 7 270 (My26),6.9,8.3,10.0,11.5
211,Utilitã¡Rio Esportivo Grande,Jeep,Commander,Lon 5 270 (My26),7.2,8.4,10.2,11.5
212,Utilitã¡Rio Esportivo Grande,Jeep,Compass,Limited T,7.3,8.6,10.1,12.1
213,Utilitã¡Rio Esportivo Grande,Jeep,Compass,Long T,7.3,8.6,10.1,12.1
214,Utilitã¡Rio Esportivo Grande,Jeep,Compass,Serie S T,7.3,8.6,10.1,12.1
215,Utilitã¡Rio Esportivo Grande,Jeep,Compass,Sport T,7.3,8.6,10.1,12.1
216,Utilitã¡Rio Esportivo Grande,Renault,Duster,Ico,7.5,8.3,10.8,11.4
217,Utilitã¡Rio Esportivo Grande,Renault,Duster,Icop,7.5,8.3,10.8,11.4
218,Utilitã¡Rio Esportivo Grande,Renault,Duster,Int,7.5,8.3,10.8,11.4
219,Utilitã¡Rio Esportivo Grande,Renault,Duster,Intp,7.5,8.3,10.8,11.4
220,Utilitã¡Rio Esportivo Grande,Renault,Duster,Lif,7.5,8.3,10.8,11.4
221,Utilitã¡Rio Esportivo Grande,Renault,Duster,Zen,7.5,8.3,10.8,11.4
222,Utilitã¡Rio Esportivo Grande,Renault,Duster,Duster Int 16,7.6,8.4,11.2,12.3
223,Utilitã¡Rio Esportivo Grande,Renault,Duster,Duster Intp Mt,7.6,8.4,11.2,12.3
224,Utilitã¡Rio Esportivo Grande,Renault,Duster,Duster Zen 16,7.6,8.4,11.2,12.3
225,Utilitã¡Rio Esportivo Grande,Renault,Duster,Ico Tce,7.5,8.6,10.9,12.3
226,Utilitã¡Rio Esportivo Grande,Renault,Duster,Icout Tce,7.5,8.6,10.9,12.3
227,Utilitã¡Rio Esportivo Grande,Renault,Duster,Zen 13Tce,7.5,8.6,10.9,12.3
228,Utilitã¡Rio Esportivo Grande,Renault,Boreal,Evo,7.8,9.4,11.2,13.6
229,Utilitã¡Rio Esportivo Grande,Renault,Boreal,Tech,7.8,9.4,11.2,13.6
230,Utilitã¡Rio Esportivo Grande,Renault,Boreal,Ico,7.8,9.4,11.2,13.6
231,Utilitã¡Rio Esportivo Grande,Volkswagen,Taos,"Comfortline 250Tsi 
AutomãTico",7.7,9.3,11.1,13.3
232,Utilitã¡Rio Esportivo Grande,Volkswagen,Taos,"Highline 250Tsi 
AutomãTico",7.7,9.3,11.1,13.3
233,Fora De Estrada Compacto,Jeep,Renegade,S T2704X4T,6.3,7.4,9.2,10.1
234,Fora De Estrada Compacto,Jeep,Renegade,Trail 4X4,6.3,7.4,9.2,10.1
235,Fora De Estrada Compacto,Jeep,Renegade,Willys 4X4,6.3,7.4,9.2,10.1
236,Fora De Estrada Grande,Land Rover,Evoque,P250Ff Ab,5.1,6.6,7.4,9.4
237,Fora De Estrada Grande,Land Rover,Discovery Sport,P250Ff Se D,5.1,6.6,7.2,9.6
238,Fora De Estrada Grande,Land Rover,Discovery Sport,P250Ff Sed7L,5.1,6.6,7.2,9.6
239,Minivan,Chevrolet,Spin,Lt7,7.7,8.6,11.0,12.5
240,Minivan,Chevrolet,Spin,Lt7,7.4,9.3,10.5,13.4
241,Minivan,Chevrolet,Spin,Ltz,7.4,9.3,10.5,13.4
242,Minivan,Chevrolet,Spin,Premier,7.4,9.3,10.5,13.4
243,Minivan,Chevrolet,Spin (My26.5),Ltz,7.1,9.1,10.1,13.1
244,Minivan,Chevrolet,Spin (My26.5),Premier,7.1,9.1,10.1,13.1
245,Comercial,Chevrolet,Onix,Log,9.6,11.9,13.8,16.9
246,Comercial,Fiat,Fiorino,Endurance,8.7,9.6,12.4,13.6
247,Comercial,Peugeot,Partrapid,Busipk,8.7,9.6,12.4,13.6
248,Comercial,Renault,Kangoo,Adv16,7.6,8.1,11.0,11.7
249,Comercial,Renault,Kangoo,Ex Pro,7.6,8.1,11.0,11.7
250,Comercial,Renault,Kangoo,Srt16,7.6,8.1,11.0,11.7
251,Picape Compacta,Chevrolet,Montana,Mt,8.4,9.7,12.3,13.7
252,Picape Compacta,Chevrolet,Montana,Lt,8.4,9.7,12.3,13.7
253,Picape Compacta,Chevrolet,Montana,Ltz,7.5,9.7,11.0,13.5
254,Picape Compacta,Chevrolet,Montana,Premier,7.5,9.7,11.0,13.5
255,Picape Compacta,Chevrolet,Montana,Rs,7.5,9.7,11.0,13.5
256,Picape Compacta,Fiat,Strada,Enduran Cs13,9.1,10.1,13.0,14.7
257,Picape Compacta,Fiat,Strada,Freedom Cs13,9.1,10.1,13.0,14.7
258,Picape Compacta,Fiat,Strada,Freedom Cd13,8.9,10.1,12.8,14.4
259,Picape Compacta,Fiat,Strada,Volcano Cd13,8.9,9.8,12.4,13.9
260,Picape Compacta,Fiat,Strada,Volcano 13At,8.9,9.7,12.6,13.5
261,Picape Compacta,Fiat,Strada,Ranch T200At,8.3,9.2,11.9,13.1
262,Picape Compacta,Fiat,Strada,Ultra T200At,8.3,9.2,11.9,13.1
263,Picape Compacta,Renault,Oroch,Intense16M,7.6,8.1,11.3,11.7
