Categoria,Marca,Modelo,Vers�o,Combust��vel,Etanol - Cidade,Etanol  - Estrada,Gasolina ou Diesel - Cidade,Gasolina ou Diesel - Estrada,El�trico - Cidade,El�trico - Estrada
Extra Grande,LEAPMOTOR,C10,Design,E,,,,,35.1,30.8
Extra Grande,LEXUS,NX350H,DYNAMIC,G,,,15.7,13.8,,
Extra Grande,LEXUS,NX350H,F-SPORT,G,,,15.7,13.8,,
Extra Grande,LEXUS,NX350H,LUXURY,G,,,15.7,13.8,,
Extra Grande,LEXUS,RX 450H PLUG-IN,RX450H PLUG-IN,G,,,14.8,13.5,37.3,31.6
Extra Grande,LEXUS,NX 450H PLUG-IN,NX450H PLUG-IN,G,,,14.5,12.7,36.1,29.6
Extra Grande,LEXUS,RX500H,F-SPORT,G,,,10.8,11,,
Extra Grande,LEXUS,NX 450H PLUG-IN (MY26),NX450H PLUG-IN,G,,,14.5,13.1,37.1,29.5
Extra Grande,Mercedes-Benz,C 200,AMG LINE,G,,,6.6,7.8,,
Extra Grande,Mercedes-Benz,C 300,AMG LINE,G,,,10.8,13.4,,
Extra Grande,Mercedes-Benz,C 300,AMG LINE,G,,,11.4,14.7,,
Extra Grande,Mercedes-Benz,AMG C 63S EP,F1,G,,,7.2,8.1,10.7,11.9
Extra Grande,Mercedes-Benz,AMG C 63S EP,,G,,,7.8,9.7,,
Extra Grande,Mercedes-Benz,CLA 200,AMG LINE,G,,,12,14,,
Extra Grande,Mercedes-Benz,CLA 200,PROGRESSIVE,G,,,8.1,11.7,,
Extra Grande,Mercedes-Benz,AMG CLA35 4M,,G,,,9.9,12.8,,
Extra Grande,Mercedes-Benz,AMG CLA45S 4M,,G,,,6.8,8.7,,
Extra Grande,Mercedes-Benz,GLB 200,PROGRESSIVE,G,,,10.1,12,,
Extra Grande,Mercedes-Benz,GLB 220 4M,AMG LINE,G,,,9.5,12,,
Extra Grande,Mercedes-Benz,GLB 220 4M,PROGRESSIVE,G,,,8.4,9.8,,
Extra Grande,Mercedes-Benz,AMG GLB 35 4M,,G,,,7.2,9.2,,
Extra Grande,Mercedes-Benz,AMG GLB35 4M,,G,,,10.4,13,,
Extra Grande,Mercedes-Benz,GLB 220 4M,AMG LINE,G,,,7.2,8.1,6.3,7.9
Extra Grande,Mercedes-Benz,GLB 220 4M,PROGRESSIVE,G,,,7.2,8.1,10.7,11.9
Extra Grande,Mercedes-Benz,AMG GLC 43,,G,,,7.2,9.2,,
Extra Grande,Mercedes-Benz,AMG GLC 43,Coupé,G,,,7.2,7.8,6.3,7.6
Extra Grande,Mercedes-Benz,AMG GLC 63S EP,,G,,,5.9,7.3,,
Extra Grande,Mercedes-Benz,AMG GLC 43,CO,G,,,6.8,8.7,,
Extra Grande,Mercedes-Benz,AMG GLC 43,,G,,,10.4,13,,
Extra Grande,Mercedes-Benz,AMG GLE 63 S CO,Coupé,G,,,7.2,8.9,,
Extra Grande,Mercedes-Benz,AMG GLE 53 4M,,G,,,10.3,13.2,,
Extra Grande,Mercedes-Benz,AMG GLE 53 4M,,G,,,7.3,8.9,,
Extra Grande,Mercedes-Benz,E300,EXCLUSIVE,G,,,9.5,12,,
Extra Grande,Mercedes-Benz,E300,EXCLUSIVE,G,,,8.1,10.7,,
Extra Grande,Mercedes-Benz,EQA 250,,E,,,,,36.4,33
Extra Grande,Mercedes-Benz,EQA 250,AMG Line,E,,,,,36.4,33
Extra Grande,Mercedes-Benz,EQB 250,,E,,,,,30,29.2
Extra Grande,Mercedes-Benz,EQB 350 4M,,E,,,,,40.3,36.6
Extra Grande,Mercedes-Benz,EQB 250+,,E,,,,,29.4,28.3
Extra Grande,Mercedes-Benz,EQE 300,,E,,,,,29.9,27.9
Extra Grande,Mercedes-Benz,EQE 300,SUV,E,,,,,27,23.9
Extra Grande,Mercedes-Benz,AMG EQE 53,SUV,E,,,,,30.7,28.1
Extra Grande,Mercedes-Benz,EQE 350,SUV,E,,,,,37.4,32.3
Extra Grande,Mercedes-Benz,EQE 350,,E,,,,,27.5,25.9
Extra Grande,Mercedes-Benz,EQS 450,,E,,,,,28.5,29.4
Extra Grande,Mercedes-Benz,AMG EQS 53 4M,,E,,,,,29.3,27.3
